CRIMETYPE,DATETIME,CASENUMBER,DESCRIPTION,POLICEBEAT,ADDRESS,CITY,STATE,Location
ASSAULT,12/19/2017 10:40:00 AM,17-065873,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,11X,5600 SHATTUCK AV,Oakland,CA,"5600 SHATTUCK AV
Oakland, CA
(37.841319, -122.264638)"
THEFT/LARCENY,01/10/2018 05:50:00 PM,18-001738,THEFT,08X,100 GRAND AV,Oakland,CA,"100 GRAND AV
Oakland, CA
(37.811432, -122.265382)"
VANDALISM,12/10/2017 01:00:00 AM,17-919498,VANDALISM,21Y,2600 FRUITVALE AVE,Oakland,CA,"2600 FRUITVALE AVE
Oakland, CA
(37.788639, -122.220808)"
THEFT/LARCENY,11/22/2017 08:30:00 AM,17-918646,BURGLARY-AUTO,13Y,00 VICENTE PLACE,Oakland,CA,"00 VICENTE PLACE
Oakland, CA
"
ASSAULT,12/19/2017 07:10:00 PM,17-065975,BATTERY,10X,1000 STANFORD AV,Oakland,CA,"1000 STANFORD AV
Oakland, CA
(37.842759, -122.278898)"
ROBBERY,01/11/2018 06:35:00 AM,18-001799,ATTEMPTED ROBBERY-FIREARM,31Z,500 ALMANZA DR,Oakland,CA,"500 ALMANZA DR
Oakland, CA
(37.729195, -122.17822)"
THEFT/LARCENY,01/10/2018 08:00:00 AM,18-001665,BURGLARY-AUTO,09X,100 41ST ST,Oakland,CA,"100 41ST ST
Oakland, CA
(37.826131, -122.251347)"
THEFT/LARCENY,12/08/2017 12:30:00 PM,17-065604,GRAND THEFT,32Y,10600 MACARTHUR BLVD,Oakland,CA,"10600 MACARTHUR BLVD
Oakland, CA
(37.742651, -122.15211)"
THEFT/LARCENY,12/10/2017 09:00:00 PM,17-919542,THEFT,09X,4200 TERRACE ST,Oakland,CA,"4200 TERRACE ST
Oakland, CA
(37.829605, -122.254302)"
THEFT/LARCENY,11/23/2017 07:56:00 AM,17-061162,THEFT,01X,200 5TH ST,Oakland,CA,"200 5TH ST
Oakland, CA
(37.795475, -122.268302)"
THEFT/LARCENY,12/18/2017 06:40:00 AM,17-065630,BURGLARY-AUTO,21X,2300 E 22ND ST,Oakland,CA,"2300 E 22ND ST
Oakland, CA
(37.789451, -122.230943)"
ASSAULT,02/03/2018 03:00:00 PM,18-006128,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,14X,500 BELLEVUE AV,Oakland,CA,"500 BELLEVUE AV
Oakland, CA
(37.807743, -122.253989)"
THEFT/LARCENY,11/16/2017 02:37:00 AM,17-059993,BURGLARY-AUTO,24X,3900 NEVIL ST,Oakland,CA,"3900 NEVIL ST
Oakland, CA
(37.784285, -122.207484)"
ASSAULT,11/23/2017 03:15:00 PM,17-061217,BATTERY,04X,1500 JACKSON ST,Oakland,CA,"1500 JACKSON ST
Oakland, CA
(37.802902, -122.264655)"
MOTOR VEHICLE THEFT,01/22/2018 02:00:00 PM,18-003919,VEHICLE THEFT - AUTO,12Y,6200 TELEGRAPH AV,Oakland,CA,"6200 TELEGRAPH AV
Oakland, CA
(37.848266, -122.260782)"
MOTOR VEHICLE THEFT,12/18/2017 03:00:00 PM,17-065771,VEHICLE THEFT - AUTO,77X,3500 LAIRD AV,Oakland,CA,"3500 LAIRD AV
Oakland, CA
"
MOTOR VEHICLE THEFT,12/17/2017 12:00:00 AM,17-065732,VEHICLE THEFT - AUTO,06X,3800 MARKET ST,Oakland,CA,"3800 MARKET ST
Oakland, CA
(37.828236, -122.274531)"
VANDALISM,11/27/2017 08:00:00 PM,17-918672,VANDALISM,04X,1600 CLAY ST,Oakland,CA,"1600 CLAY ST
Oakland, CA
(37.806598, -122.272747)"
THEFT/LARCENY,12/09/2017 09:00:00 PM,17-064282,BURGLARY-AUTO,20X,2500 E 15TH ST,Oakland,CA,"2500 E 15TH ST
Oakland, CA
(37.782903, -122.232919)"
MOTOR VEHICLE THEFT,01/10/2018 10:00:00 AM,18-001679,VEHICLE THEFT - AUTO,31Y,10000 DOOLITTLE DR,Oakland,CA,"10000 DOOLITTLE DR
Oakland, CA
(37.723171, -122.195688)"
THEFT/LARCENY,12/10/2017 08:00:00 PM,17-919537,BURGLARY-AUTO,,BROADWAY/38TH AVE,Oakland,CA,"BROADWAY/38TH AVE
Oakland, CA
"
DISTURBING THE PEACE,11/25/2017 12:20:00 AM,17-918688,ANNOYING TELEPHONE CALL:OBSCENE/THREATENING,20X,1200 26TH AVE,Oakland,CA,"1200 26TH AVE
Oakland, CA
(37.78056, -122.233381)"
MOTOR VEHICLE THEFT,01/21/2018 05:30:00 PM,18-003822,VEHICLE THEFT - AUTO,15X,600 BROOKLYN AV,Oakland,CA,"600 BROOKLYN AV
Oakland, CA
(37.804686, -122.248947)"
ASSAULT,11/23/2017 05:13:00 PM,17-061233,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,02Y,1600 12TH ST,Oakland,CA,"1600 12TH ST
Oakland, CA
(37.810102, -122.295385)"
THEFT/LARCENY,12/13/2017 09:00:00 PM,17-064838,BURGLARY-AUTO,03X,300 11TH ST,Oakland,CA,"300 11TH ST
Oakland, CA
(37.800855, -122.268903)"
VANDALISM,11/27/2017 07:00:00 PM,17-918647,VANDALISM,20X,300 23RD,Oakland,CA,"300 23RD
Oakland, CA
(37.773198, -122.235897)"
MOTOR VEHICLE THEFT,02/02/2018 05:00:00 PM,18-006089,VEHICLE THEFT - AUTO,28X,3100 HIGH ST,Oakland,CA,"3100 HIGH ST
Oakland, CA
(37.784722, -122.199895)"
VANDALISM,12/10/2017 08:00:00 PM,17-919507,VANDALISM,12Y,5300 COLLEGE AVE,Oakland,CA,"5300 COLLEGE AVE
Oakland, CA
(37.837843, -122.25129)"
ASSAULT,02/02/2018 11:30:00 AM,18-006082,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,24X,3800 CARRINGTON ST,Oakland,CA,"3800 CARRINGTON ST
Oakland, CA
(37.781406, -122.212623)"
THEFT/LARCENY,11/27/2017 07:00:00 PM,17-918678,BURGLARY-AUTO,03Y,1200 CLAY ST,Oakland,CA,"1200 CLAY ST
Oakland, CA
(37.804497, -122.27411)"
THEFT/LARCENY,12/10/2017 04:30:00 PM,17-919528,BURGLARY-AUTO,14Y,3300 GRAND AVE,Oakland,CA,"3300 GRAND AVE
Oakland, CA
(37.812869, -122.247077)"
MOTOR VEHICLE THEFT,11/15/2017 10:00:00 PM,17-059997,VEHICLE THEFT - AUTO,21X,2000 23RD AV,Oakland,CA,"2000 23RD AV
Oakland, CA
(37.787593, -122.232019)"
DRUGS/ALCOHOL VIOLATIONS,12/29/2017 02:54:00 AM,17-067552,POSSESS MARIJUANA/HASHISH FOR SALE,14X,500 BELLEVUE AV,Oakland,CA,"500 BELLEVUE AV
Oakland, CA
(37.807743, -122.253989)"
THEFT/LARCENY,01/10/2018 10:52:00 PM,18-001780,THEFT,19X,1500 6TH AV,Oakland,CA,"1500 6TH AV
Oakland, CA
(37.795878, -122.251814)"
ASSAULT,11/22/2017 08:40:00 PM,17-061104,THREAT CRIME:INT:TERRORIZE,07X,2700 CHESTNUT ST,Oakland,CA,"2700 CHESTNUT ST
Oakland, CA
(37.819646, -122.281308)"
VANDALISM,12/08/2017 04:00:00 PM,17-919523,VANDALISM,01X,600 3RD ST,Oakland,CA,"600 3RD ST
Oakland, CA
(37.798172, -122.279478)"
ROBBERY,02/01/2018 07:45:00 PM,18-005833,CARJACKING WITH FIREARM,35X,8500 BANCROFT AV,Oakland,CA,"8500 BANCROFT AV
Oakland, CA
(37.757465, -122.168421)"
THEFT/LARCENY,12/15/2017 08:15:00 AM,17-065738,BURGLARY-AUTO,01X,500 2ND ST,Oakland,CA,"500 2ND ST
Oakland, CA
(37.796569, -122.277599)"
DUI,12/18/2017 03:00:00 AM,17-065597,DUI ALCOHOL/DRUGS,16Y,1900 MONTANA ST,Oakland,CA,"1900 MONTANA ST
Oakland, CA
(37.799592, -122.218741)"
ASSAULT,12/04/2017 09:30:00 AM,17-063262,THREAT CRIME:INT:TERRORIZE,22X,2100 DAMUTH ST,Oakland,CA,"2100 DAMUTH ST
Oakland, CA
(37.802522, -122.214032)"
THEFT/LARCENY,12/28/2017 11:00:00 AM,17-067419,BURGLARY-AUTO,29X,5500 FOOTHILL BLVD,Oakland,CA,"5500 FOOTHILL BLVD
Oakland, CA
(37.772483, -122.195236)"
ROBBERY,02/01/2018 10:20:00 PM,18-005850,ROBBERY-FIREARM,12X,400 49TH ST,Oakland,CA,"400 49TH ST
Oakland, CA
(37.835331, -122.258874)"
VANDALISM,11/26/2017 08:00:00 PM,17-918692,VANDALISM,15X,100 ATHOL AVE,Oakland,CA,"100 ATHOL AVE
Oakland, CA
(37.800953, -122.253108)"
WEAPONS,12/05/2017 02:48:00 PM,17-063398,PROHIBITED POSSESS AMMUNITION OR RELOADED AMMUNITION,21X,2000 23RD AV,Oakland,CA,"2000 23RD AV
Oakland, CA
(37.787593, -122.232019)"
ASSAULT,11/23/2017 12:00:00 AM,17-061160,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,20X,2500 INTERNATIONAL BLVD,Oakland,CA,"2500 INTERNATIONAL BLVD
Oakland, CA
(37.782068, -122.2337)"
ASSAULT,01/23/2018 10:45:00 AM,18-004057,BATTERY,03Y,400 7TH ST,Oakland,CA,"400 7TH ST
Oakland, CA
(37.799026, -122.272977)"
ROBBERY,12/10/2017 09:30:00 PM,17-064296,ROBBERY-KNIFE OR CUTTING INSTRUMENT,19X,1000 22ND AV,Oakland,CA,"1000 22ND AV
Oakland, CA
(37.782414, -122.240198)"
FRAUD,12/27/2017 06:12:00 PM,18-001042,GET CREDIT/ETC OTHER'S ID,03Y,400 7TH ST,Oakland,CA,"400 7TH ST
Oakland, CA
(37.799026, -122.272977)"
VANDALISM,12/11/2017 03:15:00 AM,17-919500,VANDALISM,35X,2400 90TH AVE,Oakland,CA,"2400 90TH AVE
Oakland, CA
(37.754882, -122.162927)"
THEFT/LARCENY,12/10/2017 12:00:00 AM,17-919490,BURGLARY-AUTO,04X,1900 WEBSTER ST,Oakland,CA,"1900 WEBSTER ST
Oakland, CA
(37.807079, -122.26648)"
VANDALISM,12/01/2017 08:00:00 AM,17-063248,VANDALISM,35Y,4800 SCOTIA AV,Oakland,CA,"4800 SCOTIA AV
Oakland, CA
(37.755073, -122.124121)"
THEFT/LARCENY,12/07/2017 07:58:00 AM,17-063676,THEFT,33X,8000 SAN LEANDRO ST,Oakland,CA,"8000 SAN LEANDRO ST
Oakland, CA
(37.749812, -122.192414)"
VANDALISM,11/22/2017 08:55:00 AM,17-060999,VANDALISM:DAMAGE PROPERTY,18Y,2200 E 29TH ST,Oakland,CA,"2200 E 29TH ST
Oakland, CA
(37.795634, -122.22699)"
ASSAULT,12/05/2017 01:00:00 PM,17-063371,BATTERY,03Y,500 9TH ST,Oakland,CA,"500 9TH ST
Oakland, CA
(37.801392, -122.27468)"
ASSAULT,01/01/2018 06:15:00 AM,18-000063,WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER,27Y,1400 65TH AV,Oakland,CA,"1400 65TH AV
Oakland, CA
(37.763277, -122.193822)"
ASSAULT,11/23/2017 03:00:00 PM,17-061228,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,18Y,1800 E 25TH ST,Oakland,CA,"1800 E 25TH ST
Oakland, CA
(37.794874, -122.233958)"
ASSAULT,11/16/2017 01:31:00 AM,17-059935,WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER,21X,2300 23RD AV,Oakland,CA,"2300 23RD AV
Oakland, CA
(37.79042, -122.229807)"
ASSAULT,12/31/2017 09:30:00 PM,17-067933,WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER,31Z,800 MOORPARK AV,Oakland,CA,"800 MOORPARK AV
Oakland, CA
(37.73219, -122.173695)"
MOTOR VEHICLE THEFT,02/01/2018 08:00:00 AM,18-005772,VEHICLE THEFT - AUTO,33X,1000 85TH AV,Oakland,CA,"1000 85TH AV
Oakland, CA
(37.750264, -122.18366)"
ASSAULT,01/10/2018 09:30:00 PM,18-001756,INFLICT CRPL INJ SP/COHAB,35Y,8600 MOUNTAIN BLVD,Oakland,CA,"8600 MOUNTAIN BLVD
Oakland, CA
(37.768513, -122.153226)"
ROBBERY,12/05/2017 11:30:00 AM,17-063333,"ROBBERY/INHABITED DWELLING - STRONGARM (HANDS, FISTS, FEET)",30X,6900 KRAUSE AV,Oakland,CA,"6900 KRAUSE AV
Oakland, CA
(37.76678, -122.180386)"
ASSAULT,12/05/2017 09:47:00 AM,17-063305,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,25X,3400 38TH AV,Oakland,CA,"3400 38TH AV
Oakland, CA
(37.789201, -122.200637)"
ROBBERY,11/23/2017 10:00:00 AM,17-061196,ROBBERY/INHABITED DWELLING - KNIFE OR CUTTING INSTRUMENT,13Y,600 HILLER DR,Oakland,CA,"600 HILLER DR
Oakland, CA
(37.852703, -122.228992)"
MOTOR VEHICLE THEFT,02/01/2018 08:15:00 AM,18-005801,SC STOLEN VEHICLE - AUTO,32Y,2400 106TH AV,Oakland,CA,"2400 106TH AV
Oakland, CA
(37.74254, -122.153311)"
ARSON,01/01/2018 12:19:00 AM,18-000007,MAL SET/ETC FIRE PROP/ETC - MOTOR VEHICLES,02Y,2100 7TH ST,Oakland,CA,"2100 7TH ST
Oakland, CA
(37.808698, -122.309832)"
THEFT/LARCENY,12/01/2017 02:15:00 PM,17-919533,THEFT,26X,1200 51ST AVE,Oakland,CA,"1200 51ST AVE
Oakland, CA
(37.767536, -122.209477)"
MOTOR VEHICLE THEFT,01/10/2018 11:00:00 PM,18-001889,VEHICLE THEFT - AUTO,29X,6000 MORSE DR,Oakland,CA,"6000 MORSE DR
Oakland, CA
(37.772244, -122.187654)"
BURGLARY,12/16/2017 12:40:00 PM,17-065735,BURGLARY-FORCIBLE ENTRY,15X,200 WAYNE AV,Oakland,CA,"200 WAYNE AV
Oakland, CA
(37.801154, -122.252512)"
ASSAULT,01/22/2018 04:25:00 PM,18-003908,BATTERY,20X,1400 FRUITVALE AV,Oakland,CA,"1400 FRUITVALE AV
Oakland, CA
(37.777747, -122.225774)"
MOTOR VEHICLE THEFT,01/17/2018 11:30:00 PM,18-003382,VEHICLE THEFT - AUTO,08X,2900 HARRISON ST,Oakland,CA,"2900 HARRISON ST
Oakland, CA
(37.816105, -122.258617)"
ARSON,11/21/2017 06:14:00 PM,17-060922,MAL SET/ETC FIRE PROP/ETC - COMMUNITY/PUBLIC,31Z,400 CAPISTRANO DR,Oakland,CA,"400 CAPISTRANO DR
Oakland, CA
(37.727725, -122.179229)"
THEFT/LARCENY,12/22/2017 06:25:00 PM,18-900776,THEFT,04X,1500 MADISON ST,Oakland,CA,"1500 MADISON ST
Oakland, CA
(37.80243, -122.26349)"
MOTOR VEHICLE THEFT,12/31/2017 06:00:00 AM,17-067849,VEHICLE THEFT - AUTO,24X,2000 34TH AV,Oakland,CA,"2000 34TH AV
Oakland, CA
(37.783288, -122.220014)"
ASSAULT,12/31/2017 02:27:00 PM,17-067876,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,27X,2500 MAXWELL AV,Oakland,CA,"2500 MAXWELL AV
Oakland, CA
(37.776644, -122.199351)"
ROBBERY,01/22/2018 07:30:00 PM,18-003949,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",02Y,1200 CENTER ST,Oakland,CA,"1200 CENTER ST
Oakland, CA
(37.809645, -122.293409)"
THEFT/LARCENY,11/27/2017 06:15:00 PM,17-918645,BURGLARY-AUTO,12Y,5800 CHABOT ROAD,Oakland,CA,"5800 CHABOT ROAD
Oakland, CA
(37.846097, -122.254754)"
ASSAULT,11/12/2017 02:30:00 PM,17-059972,SC ADW - OTHER DANGEROUS WEAPON,32X,9900 C ST,Oakland,CA,"9900 C ST
Oakland, CA
(37.741217, -122.173936)"
THEFT/LARCENY,01/19/2018 08:20:00 AM,18-003365,THEFT,34X,8300 BIRCH ST,Oakland,CA,"8300 BIRCH ST
Oakland, CA
(37.757406, -122.173323)"
MOTOR VEHICLE THEFT,12/27/2017 07:38:00 PM,17-066367,VEHICLE THEFT - AUTO,33X,8300 E ST,Oakland,CA,"8300 E ST
Oakland, CA
(37.75177, -122.18481)"
THEFT/LARCENY,12/10/2017 09:35:00 PM,17-919536,BURGLARY-AUTO,14Y,400 LAKE PARK AVE,Oakland,CA,"400 LAKE PARK AVE
Oakland, CA
(37.811458, -122.247926)"
THEFT/LARCENY,01/08/2018 05:29:00 PM,18-001371,GRAND THEFT,12Y,5300 BROADWAY,Oakland,CA,"5300 BROADWAY
Oakland, CA
(37.83747, -122.250448)"
ROBBERY,12/27/2017 06:00:00 PM,17-067433,ATTEMPTED ROBBERY-OTHER DANGEROUS WEAPON,04X,300 17TH ST,Oakland,CA,"300 17TH ST
Oakland, CA
(37.805387, -122.266503)"
THEFT/LARCENY,12/02/2017 11:38:00 AM,17-062837,GRAND THEFT:MONEY/LABOR/PROPERTY  OVER $400,17Y,3200 14TH AV,Oakland,CA,"3200 14TH AV
Oakland, CA
(37.799789, -122.228081)"
THEFT/LARCENY,11/27/2017 07:15:00 PM,17-918661,BURGLARY-AUTO,19X,1000 COTTON ST,Oakland,CA,"1000 COTTON ST
Oakland, CA
(37.779832, -122.239186)"
VANDALISM,01/01/2018 12:00:00 PM,18-900796,VANDALISM,03X,1300 HARRISON ST,Oakland,CA,"1300 HARRISON ST
Oakland, CA
(37.80223, -122.268037)"
ROBBERY,12/18/2017 10:30:00 PM,17-065801,ATTEMPTED ROBBERY-OTHER DANGEROUS WEAPON,21X,2500 FOOTHILL BLVD,Oakland,CA,"2500 FOOTHILL BLVD
Oakland, CA
(37.784648, -122.23035)"
ASSAULT,02/03/2018 05:40:00 PM,18-006161,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,23X,900 39TH AV,Oakland,CA,"900 39TH AV
Oakland, CA
(37.771572, -122.221123)"
MOTOR VEHICLE THEFT,12/16/2017 09:00:00 AM,17-065751,VEHICLE THEFT - AUTO,04X,500 16TH ST,Oakland,CA,"500 16TH ST
Oakland, CA
(37.806119, -122.270459)"
DRUGS/ALCOHOL VIOLATIONS,12/29/2017 09:30:00 AM,17-067377,TRANSPORT/SELL NARCOTIC/CONTROLLED SUBSTANCE,34X,1900 82ND AV,Oakland,CA,"1900 82ND AV
Oakland, CA
(37.758405, -122.173809)"
THEFT/LARCENY,11/26/2017 07:00:00 PM,17-061793,BURGLARY-AUTO,04X,500 17TH ST,Oakland,CA,"500 17TH ST
Oakland, CA
(37.806915, -122.270726)"
THEFT/LARCENY,12/30/2017 07:00:00 PM,18-900801,THEFT,10Y,900 41ST ST,Oakland,CA,"900 41ST ST
Oakland, CA
(37.831558, -122.273729)"
ASSAULT,01/09/2018 11:50:00 PM,18-001418,BATTERY,26Y,7500 INTERNATIONAL BLVD,Oakland,CA,"7500 INTERNATIONAL BLVD
Oakland, CA
(37.758461, -122.185427)"
VANDALISM,01/23/2018 11:28:00 AM,18-004058,MALICIOUSLY DEFACE W/PAINT/ETC,04X,1500 LAKESIDE DR,Oakland,CA,"1500 LAKESIDE DR
Oakland, CA
(37.802944, -122.261708)"
MOTOR VEHICLE THEFT,01/31/2018 03:00:00 PM,18-005795,VEHICLE THEFT - AUTO,03X,800 MADISON ST,Oakland,CA,"800 MADISON ST
Oakland, CA
(37.797394, -122.266637)"
ASSAULT,01/22/2018 09:03:00 PM,18-003950,SHOOT AT INHABITED DWELLING/VEHICLE/ETC,34X,1800 88TH AV,Oakland,CA,"1800 88TH AV
Oakland, CA
(37.752983, -122.17119)"
ASSAULT,02/01/2018 05:20:00 PM,18-005811,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,33X,9600 C ST,Oakland,CA,"9600 C ST
Oakland, CA
(37.74404, -122.176036)"
THEFT/LARCENY,01/18/2018 04:30:00 AM,18-003309,THEFT,23X,3400 E 12TH ST,Oakland,CA,"3400 E 12TH ST
Oakland, CA
(37.776022, -122.224006)"
MOTOR VEHICLE THEFT,01/19/2018 11:27:00 PM,18-003465,VEHICLE THEFT - AUTO,26X,5100 E 10TH ST,Oakland,CA,"5100 E 10TH ST
Oakland, CA
(37.766204, -122.210973)"
THEFT/LARCENY,12/01/2017 07:00:00 PM,17-919525,BURGLARY-AUTO,,CLAY ST,Oakland,CA,"CLAY ST
Oakland, CA
"
ASSAULT,12/30/2017 10:50:00 PM,17-067791,THREAT CRIME:INT:TERRORIZE,06X,2500 MARTIN LUTHER KING JR W,Oakland,CA,"2500 MARTIN LUTHER KING JR W
Oakland, CA
"
ASSAULT,01/22/2018 09:03:00 AM,18-003832,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,21X,2700 25TH AV,Oakland,CA,"2700 25TH AV
Oakland, CA
(37.792521, -122.223881)"
THEFT/LARCENY,02/02/2018 08:40:00 PM,18-006016,GRAND THEFT:MONEY/LABOR/PROPERTY  OVER $400,20X,3000 E 9TH ST,Oakland,CA,"3000 E 9TH ST
Oakland, CA
(37.774483, -122.231168)"
THEFT/LARCENY,12/10/2017 09:35:00 PM,17-919516,BURGLARY-AUTO,14Y,3500 GRAND AVE,Oakland,CA,"3500 GRAND AVE
Oakland, CA
(37.814365, -122.24615)"
ASSAULT,02/03/2018 01:20:00 PM,18-006110,WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER,06X,3400 SAN PABLO AV,Oakland,CA,"3400 SAN PABLO AV
Oakland, CA
(37.825396, -122.277983)"
ROBBERY,02/03/2018 08:25:00 AM,18-006081,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",03X,1200 BROADWAY,Oakland,CA,"1200 BROADWAY
Oakland, CA
(37.803128, -122.271954)"
ASSAULT,11/21/2017 11:17:00 AM,17-060843,BATTERY,03X,400 11TH ST,Oakland,CA,"400 11TH ST
Oakland, CA
(37.801777, -122.271252)"
MOTOR VEHICLE THEFT,12/18/2017 04:32:00 PM,17-065768,VEHICLE THEFT - AUTO,24X,2400 34TH AV,Oakland,CA,"2400 34TH AV
Oakland, CA
(37.786197, -122.217908)"
VANDALISM,12/10/2017 08:45:00 PM,17-919519,VANDALISM,09X,100 40TH ST,Oakland,CA,"100 40TH ST
Oakland, CA
(37.826098, -122.254445)"
MOTOR VEHICLE THEFT,02/02/2018 08:30:00 AM,18-005900,VEHICLE THEFT - AUTO,10Y,4200 MARTIN LUTHER KING JR W,Oakland,CA,"4200 MARTIN LUTHER KING JR W
Oakland, CA
"
THEFT/LARCENY,11/13/2017 10:30:00 PM,17-918695,BURGLARY-AUTO,,00,Oakland,CA,"00
Oakland, CA
"
THEFT/LARCENY,01/22/2018 02:49:00 PM,18-003891,GRAND THEFT,03Y,400 7TH ST,Oakland,CA,"400 7TH ST
Oakland, CA
(37.799026, -122.272977)"
DRUGS/ALCOHOL VIOLATIONS,12/31/2017 12:00:00 AM,17-067940,POSSESS CONTROLLED SUBSTANCE,26Y,1300 65TH AV,Oakland,CA,"1300 65TH AV
Oakland, CA
(37.762978, -122.194261)"
ASSAULT,12/05/2017 07:50:00 AM,17-063287,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,26Y,7200 HAMILTON ST,Oakland,CA,"7200 HAMILTON ST
Oakland, CA
(37.757446, -122.191302)"
THEFT/LARCENY,12/04/2017 07:51:00 AM,17-063247,GRAND THEFT:MONEY/LABOR/PROPERTY  OVER $400,34X,2000 86TH AV,Oakland,CA,"2000 86TH AV
Oakland, CA
(37.756141, -122.169772)"
MOTOR VEHICLE THEFT,11/16/2017 10:00:00 AM,17-060024,VEHICLE THEFT - AUTO,28X,4600 FLEMING AV,Oakland,CA,"4600 FLEMING AV
Oakland, CA
(37.781109, -122.198873)"
ASSAULT,12/31/2017 09:30:00 PM,17-067930,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,14X,400 LAGUNITAS AV,Oakland,CA,"400 LAGUNITAS AV
Oakland, CA
(37.80984, -122.251305)"
VANDALISM,01/03/2018 08:14:00 PM,18-000529,VANDALISM-$400+,07X,2300 WEST ST,Oakland,CA,"2300 WEST ST
Oakland, CA
(37.813724, -122.275653)"
VANDALISM,01/23/2018 04:04:00 AM,18-003987,VANDALISM,08X,3400 TELEGRAPH AV,Oakland,CA,"3400 TELEGRAPH AV
Oakland, CA
(37.822792, -122.266162)"
ASSAULT,01/31/2018 11:35:00 PM,18-005652,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,22X,3400 FRUITVALE AV,Oakland,CA,"3400 FRUITVALE AV
Oakland, CA
(37.799305, -122.216552)"
FRAUD,11/20/2017 08:00:00 AM,17-918663,USE ANOTHER'S PERSONAL IDENTIFICATION TO OBTAIN CREDIT/ETC.,25X,3800 39TH AVE,Oakland,CA,"3800 39TH AVE
Oakland, CA
(37.791907, -122.194311)"
FRAUD,11/15/2017 11:30:00 AM,17-918658,USE ANOTHER'S PERSONAL IDENTIFICATION TO OBTAIN CREDIT/ETC.,16X,800 LONGRIDGE ROAD,Oakland,CA,"800 LONGRIDGE ROAD
Oakland, CA
(37.809407, -122.23693)"
MOTOR VEHICLE THEFT,11/16/2017 02:00:00 AM,17-060120,VEHICLE THEFT - AUTO,25X,3500 VICTOR AV,Oakland,CA,"3500 VICTOR AV
Oakland, CA
(37.797854, -122.19284)"
ASSAULT,11/23/2017 06:40:00 PM,17-061238,CRIMINAL THREATS  THREATED CRIME W/INTENT TO TERRORIZE,24X,2000 36TH AV,Oakland,CA,"2000 36TH AV
Oakland, CA
(37.78214, -122.216738)"
ROBBERY,12/19/2017 07:20:00 AM,17-065843,ROBBERY-OTHER DANGEROUS WEAPON,32X,10900 INTERNATIONAL BLVD,Oakland,CA,"10900 INTERNATIONAL BLVD
Oakland, CA
(37.73672, -122.164746)"
VANDALISM,12/10/2017 01:45:00 AM,17-919514,VANDALISM,25X,4700 DAVENPORT AVE,Oakland,CA,"4700 DAVENPORT AVE
Oakland, CA
(37.787196, -122.183282)"
THEFT/LARCENY,11/28/2017 08:30:00 AM,17-918681,BURGLARY-AUTO,13Z,1700 MOUNTAIN BOULEVARD,Oakland,CA,"1700 MOUNTAIN BOULEVARD
Oakland, CA
(37.832072, -122.213821)"
BURGLARY,11/15/2017 05:30:00 PM,17-060009,BURGLARY-NO FORCE,13X,5900 MARGARIDO DR,Oakland,CA,"5900 MARGARIDO DR
Oakland, CA
(37.844452, -122.241781)"
ASSAULT,12/18/2017 04:00:00 AM,17-065667,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,26X,6300 COLISEUM WY,Oakland,CA,"6300 COLISEUM WY
Oakland, CA
(37.756471, -122.206736)"
ASSAULT,12/03/2017 11:45:00 PM,17-063070,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,01X,00 BROADWAY,Oakland,CA,"00 BROADWAY
Oakland, CA
"
MOTOR VEHICLE THEFT,01/21/2018 12:30:00 AM,18-003854,VEHICLE THEFT - AUTO,17Y,2300 PARK BLVD,Oakland,CA,"2300 PARK BLVD
Oakland, CA
(37.801663, -122.245102)"
ASSAULT,01/02/2018 08:30:00 AM,18-000143,CRIMINAL THREATS  THREATED CRIME W/INTENT TO TERRORIZE,21Y,2300 FRUITVALE AV,Oakland,CA,"2300 FRUITVALE AV
Oakland, CA
(37.785457, -122.222072)"
THEFT/LARCENY,11/25/2017 05:03:00 AM,17-918649,BURGLARY-AUTO,03X,1200 HARRISON ST,Oakland,CA,"1200 HARRISON ST
Oakland, CA
(37.801537, -122.268463)"
ASSAULT,11/23/2017 03:34:00 AM,17-061152,OBSTRUCTS/RESISTS PUBLIC OFFICER/ETC,32Y,10600 MACARTHUR BLVD,Oakland,CA,"10600 MACARTHUR BLVD
Oakland, CA
(37.742651, -122.15211)"
